"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"4297","MIT-AUT-105",2021,6,"hps",1124,741.5,"CU","3",45,"600Y","480Y",2021-06-01,156.6
"4298","MIT-AUT-105",2021,4,"hps",1364,741.5,"CU","3",45,"600Y","480Y",2021-04-01,147.9
"4299","MIT-DRY-119",2021,10,"hps",820,738.68,"AL","1",15,"240x480","120/240",2021-10-01,174
"4300","MIT-AUT-112",2021,10,"hps",1072,735.56,"CU","3",9,"600Y","208Y",2021-10-01,174
"4301","MIT-AUT-112",2021,10,"hps",1072,734.56,"CU","3",9,"600Y","208Y",2021-10-01,174
"4302","MIT-DRY-100",2020,1,"hps",1050,731.65,"AL","3",15,"480D","208Y",2020-01-01,82.7
"4303","MIT-DRY-109",2021,3,"hps",831,731.65,"AL","3",15,"480D","240D/CT",2021-03-01,143.4
"4304","MIT-DRY-100",2019,10,"hps",750,731.65,"AL","3",15,"480D","208Y",2019-10-01,69.6
"4305","MIT-DRY-109",2019,6,"hps",807,731.65,"AL","3",15,"480D","240D/CT",2019-06-01,52.1
"4306","MIT-DRY-100",2020,3,"hps",1124,731.65,"AL","3",15,"480D","208Y",2020-03-01,91.3
"4307","MIT-DRY-109",2019,4,"hps",1100,731.65,"AL","3",15,"480D","240D/CT",2019-04-01,43.4
"4308","MIT-DRY-109",2019,4,"hps",807,731.65,"AL","3",15,"480D","240D/CT",2019-04-01,43.4
"4309","MIT-AUT-112",2021,9,"hps",1072,731.32,"CU","3",9,"600Y","208Y",2021-09-01,169.7
"4310","MIT-AUT-112",2021,8,"hps",1072,731.32,"CU","3",9,"600Y","208Y",2021-08-01,165.3
"4311","MIT-AUT-112",2021,7,"hps",1072,730.78,"CU","3",9,"600Y","208Y",2021-07-01,160.9
"4312","MIT-AUT-112",2021,9,"hps",875,730.78,"CU","3",9,"600Y","208Y",2021-09-01,169.7
"4313","MIT-AUT-112",2021,7,"hps",1200,730.78,"CU","3",9,"600Y","208Y",2021-07-01,160.9
"4314","MIT-DRY-109",2019,6,"jeff",1043,728.94,"AL","3",15,"480D","240D/CT",2019-06-01,52.1
"4315","MIT-DRY-120",2020,8,"jeff",906,724.66,"AL","1",25,"240x480","120/240",2020-08-01,113.1
"4316","MIT-AUT-104",2021,11,"hps",947,724.3,"CU","3",30,"600Y","480Y",2021-11-01,178.4
"4317","MIT-DRY-131",2022,2,"jeff",1486,721,"AL","3",15,"208D","480Y",2022-02-01,191.6
"4318","MIT-DRY-109",2021,10,"jeff",1400,721,"AL","3",15,"480D","240D/CT",2021-10-01,174
"4319","MIT-DRY-131",2022,2,"jeff",966,721,"AL","3",15,"208D","480Y",2022-02-01,191.6
"4320","MIT-DRY-131",2022,3,"jeff",1500,721,"AL","3",15,"208D","480Y",2022-03-01,195.6
"4321","MIT-DRY-109",2022,2,"jeff",1163,721,"AL","3",15,"480D","240D/CT",2022-02-01,191.6
"4322","MIT-DRY-109",2022,2,"jeff",1160,721,"AL","3",15,"480D","240D/CT",2022-02-01,191.6
"4323","MIT-DRY-131",2022,1,"jeff",966,721,"AL","3",15,"208D","480Y",2022-01-01,187.1
"4324","MIT-DRY-131",2021,12,"jeff",1486,721,"AL","3",15,"208D","480Y",2021-12-01,182.7
"4325","MIT-DRY-131",2022,1,"jeff",1486,721,"AL","3",15,"208D","480Y",2022-01-01,187.1
"4326","MIT-DRY-109",2021,12,"jeff",1163,721,"AL","3",15,"480D","240D/CT",2021-12-01,182.7
"4327","MIT-DRY-131",2022,3,"jeff",1486,721,"AL","3",15,"208D","480Y",2022-03-01,195.6
"4328","MIT-DRY-109",2022,1,"jeff",1250,721,"AL","3",15,"480D","240D/CT",2022-01-01,187.1
"4329","MIT-DRY-109",2022,3,"jeff",1163,721,"AL","3",15,"480D","240D/CT",2022-03-01,195.6
"4330","MIT-DRY-109",2022,2,"jeff",756,721,"AL","3",15,"480D","240D/CT",2022-02-01,191.6
"4331","MIT-AUT-104",2021,9,"hps",947,720.52,"CU","3",30,"600Y","480Y",2021-09-01,169.7
"4332","MIT-AUT-104",2021,8,"hps",947,720.52,"CU","3",30,"600Y","480Y",2021-08-01,165.3
"4333","MIT-AUT-104",2021,8,"hps",1005,719.98,"CU","3",30,"600Y","480Y",2021-08-01,165.3
"4334","MIT-AUT-104",2021,9,"hps",947,719.98,"CU","3",30,"600Y","480Y",2021-09-01,169.7
"4335","MIT-AUT-113",2021,4,"hps",950,713.8,"CU","3",15,"600Y","208Y",2021-04-01,147.9
"4336","MIT-AUT-113",2021,6,"hps",1340,713.8,"CU","3",15,"600Y","208Y",2021-06-01,156.6
"4337","MIT-DRY-147",2021,11,"mgm",2504,713.5,"AL","3",45,"480D","380x400x416Y",2021-11-01,178.4
"4338","MIT-DRY-147",2022,2,"mgm",2800,713.5,"AL","3",45,"480D","380x400x416Y",2022-02-01,191.6
"4339","MIT-DRY-103",2019,10,"egr",1890,713,"AL","3",75,"480D","208Y",2019-10-01,69.6
"4340","MIT-DRY-103",2019,2,"egr",1800,713,"AL","3",75,"480D","208Y",2019-02-01,35
"4341","MIT-DRY-103",2019,4,"egr",1876.5,713,"AL","3",75,"480D","208Y",2019-04-01,43.4
"4342","MIT-DRY-103",2019,8,"egr",1800,713,"AL","3",75,"480D","208Y",2019-08-01,60.9
"4343","MIT-DRY-103",2018,8,"egr",1757,713,"AL","3",75,"480D","208Y",2018-08-01,8.7
"4344","MIT-DRY-103",2018,10,"egr",1812.5,713,"AL","3",75,"480D","208Y",2018-10-01,17.4
"4345","MIT-DRY-103",2019,9,"egr",1500,713,"AL","3",75,"480D","208Y",2019-09-01,65.3
"4346","MIT-DRY-103",2019,3,"egr",1891,713,"AL","3",75,"480D","208Y",2019-03-01,39
"4347","MIT-DRY-103",2019,8,"egr",1188.33,713,"AL","3",75,"480D","208Y",2019-08-01,60.9
"4348","MIT-DRY-103",2019,4,"egr",2085,713,"AL","3",75,"480D","208Y",2019-04-01,43.4
"4349","MIT-DRY-103",2019,4,"egr",2316,713,"AL","3",75,"480D","208Y",2019-04-01,43.4
"4350","MIT-DRY-103",2019,10,"egr",1600,713,"AL","3",75,"480D","208Y",2019-10-01,69.6
"4351","MIT-DRY-103",2018,7,"egr",1723,713,"AL","3",75,"480D","208Y",2018-07-01,4.3
"4352","MIT-DRY-112",2018,7,"egr",1723,713,"AL","3",75,"480D","240D/CT",2018-07-01,4.3
"4353","MIT-DRY-103",2019,6,"egr",2085,713,"AL","3",75,"480D","208Y",2019-06-01,52.1
"4354","MIT-DRY-103",2019,8,"egr",1575,713,"AL","3",75,"480D","208Y",2019-08-01,60.9
"4355","MIT-DRY-103",2019,5,"egr",2085,713,"AL","3",75,"480D","208Y",2019-05-01,47.7
