"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"4480","MIT-DRY-102-CU",2020,2,"mgm",1400,586.08,"CU","3",45,"480D","208Y",2020-02-01,87.1
"4481","MIT-DRY-102-CU",2019,11,"mgm",1029,586.08,"CU","3",45,"480D","208Y",2019-11-01,74
"4482","MIT-DRY-111-CU",2020,1,"mgm",1260,586.08,"CU","3",45,"480D","240D/CT",2020-01-01,82.7
"4483","MIT-DRY-111-CU",2020,1,"mgm",1150,586.08,"CU","3",45,"480D","240D/CT",2020-01-01,82.7
"4484","MIT-DRY-102-CU",2019,7,"mgm",1235,586.08,"CU","3",45,"480D","208Y",2019-07-01,56.4
"4485","MIT-DRY-102-CU",2020,2,"mgm",1235,586.08,"CU","3",45,"480D","208Y",2020-02-01,87.1
"4486","MIT-DRY-109",2021,6,"jeff",887,585,"AL","3",15,"480D","240D/CT",2021-06-01,156.6
"4487","MIT-DRY-139",2021,12,"jeff",1486,585,"AL","3",15,"240D","480Y",2021-12-01,182.7
"4488","MIT-DRY-131",2021,9,"jeff",1471,585,"AL","3",15,"208D","480Y",2021-09-01,169.7
"4489","MIT-DRY-139",2022,1,"jeff",1486,585,"AL","3",15,"240D","480Y",2022-01-01,187.1
